Disease,OPCS4code,OPCS4codeDescr,Category,ICD10code,ICD10codeDescr
Abdominal Hernia,T261,Repair of recurrent incisional hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T262,Repair of recurrent incisional hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T263,Repair of recurrent incisional hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T264,Removal of prosthetic material from previous repair of incisional hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T268,Other specified repair of recurrent incisional hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T269,Unspecified repair of recurrent incisional hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T27,Repair of other hernia of abdominal wall,Procedure for Abdominal Hernia,,
Abdominal Hernia,T271,Repair of ventral hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T272,Repair of ventral hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T273,Repair of ventral hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T274,Removal of prosthetic material from previous repair of ventral hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T278,Other specified repair of other hernia of abdominal wall,Procedure for Abdominal Hernia,,
Abdominal Hernia,T279,Unspecified repair of other hernia of abdominal wall,Procedure for Abdominal Hernia,,
Abdominal Hernia,T97,Repair of recurrent umbilical hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T971,Repair of recurrent umbilical hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T972,Repair of recurrent umbilical hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T973,Repair of recurrent umbilical hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T978,Other specified repair of recurrent umbilical hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T979,Unspecified repair of recurrent umbilical hernia,Procedure for Abdominal Hernia,,
Abdominal Hernia,T98,Repair of recurrent other hernia of abdominal wall,Procedure for Abdominal Hernia,,
Abdominal Hernia,T981,Repair of recurrent ventral hernia using insert of natural material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T982,Repair of recurrent ventral hernia using insert of prosthetic material,Procedure for Abdominal Hernia,,
Abdominal Hernia,T983,Repair of recurrent ventral hernia using sutures,Procedure for Abdominal Hernia,,
Abdominal Hernia,T988,Other specified repair of recurrent other hernia of abdominal wall,Procedure for Abdominal Hernia,,
Abdominal Hernia,T989,Unspecified repair of recurrent other hernia of abdominal wall,Procedure for Abdominal Hernia,,
Hypertrophic Cardiomyopathy,,,Diagnosis of Hypertrophic Cardiomyopathy,I421,Obstructive hypertrophic cardiomyopathy
Hypertrophic Cardiomyopathy,,,Diagnosis of Hypertrophic Cardiomyopathy,I422,Other hypertrophic cardiomyopathy
Leukaemia,,,Diagnosis of Leukaemia,C91,Lymphoid leukaemia
Leukaemia,,,Diagnosis of Leukaemia,C92,Myeloid leukaemia
Leukaemia,,,Diagnosis of Leukaemia,C93,Monocytic leukaemia
Leukaemia,,,Diagnosis of Leukaemia,C94,Other leukaemias of specified cell type
Leukaemia,,,Diagnosis of Leukaemia,C95,Leukaemia of unspecified cell type
Motor neuron disease,,,Diagnosis of Motor neuron disease,G122,Motor neuron disease
Cerebral Palsy,,,Diagnosis of Cerebral palsy,G80,Cerebral palsy
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M460,Spinal enthesopathy
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M652,Calcific tendinitis
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M653,Trigger finger
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M654,Radial styloid tenosynovitis [de Quervain]
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M658,Other synovitis and tenosynovitis
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M659,"Synovitis and tenosynovitis, unspecified"
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M66,Spontaneous rupture of synovium and tendon
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M70,"Soft tissue disorders related to use, overuse and pressure"
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M712,Synovial cyst of popliteal space [Baker]
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M713,Other bursal cyst
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M714,Calcium deposit in bursa
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M715,"Other bursitis, not elsewhere classified"
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M718,Other specified bursopathies
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M719,"Bursopathy, unspecified"
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M75,Shoulder lesions
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M76,"Enthesopathies of lower limb, excluding foot"
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M770,Medial epicondylitis
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M771,Lateral epicondylitis
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M772,Periarthritis of wrist
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M773,Calcaneal spur
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M775,Other enthesopathy of foot
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M778,"Other enthesopathies, not elsewhere classified"
Enthesopathies & synovial disorders,,,Diagnosis of Enthesopathies & synovial disorders,M779,"Enthesopathy, unspecified"
Urticaria,,,Diagnosis of Urticaria,L50,Urticaria
Multiple valve dz,,,Diagnosis of Multiple valve dz,I08,Multiple valve diseases
Subdural haematoma - nontraumatic,,,Diagnosis of Subdural haemorrhage (acute)(nontraumatic),I620,Subdural haemorrhage (acute)(nontraumatic)
Monoclonal gammopathy of undetermined significance (MGUS),,,Diagnosis of Monoclonal gammopathy of undetermined significance (MGUS),D472,Monoclonal gammopathy of undetermined significance (MGUS)
Secondary pulmonary hypertension,,,Diagnosis of secondary pulmonary hypertension,I272,Other secondary pulmonary hypertension
Collapsed vertebra,V44,Decompression of fracture of spine,Procedure for Collapsed vertebra,,
Collapsed vertebra,V441,Complex decompression of fracture of spine,Procedure for Collapsed vertebra,,
Collapsed vertebra,V442,Anterior decompression of fracture of spine,Procedure for Collapsed vertebra,,
Collapsed vertebra,V443,Posterior decompression of fracture of spine NEC,Procedure for Collapsed vertebra,,
Collapsed vertebra,V444,Vertebroplasty of fracture of spine,Procedure for Collapsed vertebra,,
Collapsed vertebra,V445,Balloon kyphoplasty of fracture of spine,Procedure for Collapsed vertebra,,
Collapsed vertebra,V448,Other specified decompression of fracture of spine,Procedure for Collapsed vertebra,,
Collapsed vertebra,V449,Unspecified decompression of fracture of spine,Procedure for Collapsed vertebra,,
Primary Malignancy_Thyroid,,,Diagnosis of Primary Malignancy_Thyroid,C73,Malignant neoplasm of thyroid gland
Secondary polycythaemia,,,Diagnosis of Secondary polycythaemia,D751,Secondary polycythaemia
Pilonidal cyst/sinus,,,Diagnosis of Pilonidal cyst/sinus,L05,Pilonidal cyst
Hypertrophy of nasal turbinates,,,Diagnosis of Hypertrophy of nasal turbinates,J343,Hypertrophy of nasal turbinates
Alcoholic liver disease,,,Diagnosis of Alcoholic liver disease,K70,Alcoholic liver disease
Primary Malignancy_Malignant Melanoma,,,Diagnosis of Primary Malignancy_Malignant Melanoma,C43,Malignant melanoma of skin
Tuberculosis,,,Diagnosis of Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
Tuberculosis,,,Diagnosis of Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
Tuberculosis,,,Diagnosis of Tuberculosis,A17,Tuberculosis of nervous system
Tuberculosis,,,Diagnosis of Tuberculosis,A18,Tuberculosis of other organs
Tuberculosis,,,Diagnosis of Tuberculosis,A19,Miliary tuberculosis
Tuberculosis,,,Diagnosis of Tuberculosis,B200,HIV disease resulting in mycobacterial infection
Tuberculosis,,,Diagnosis of Tuberculosis,B90,Sequelae of tuberculosis
Tuberculosis,,,Diagnosis of Tuberculosis,J65,Pneumoconiosis associated with tuberculosis
Tuberculosis,,,Diagnosis of Tuberculosis,K230,Tuberculous oesophagitis
Tuberculosis,,,Diagnosis of Tuberculosis,K673,Tuberculous peritonitis
Tuberculosis,,,Diagnosis of Tuberculosis,K930,"Tuberculous disorders of intestines, peritoneum and mesenteric glands"
Tuberculosis,,,Diagnosis of Tuberculosis,M011,Tuberculous arthritis
Tuberculosis,,,Diagnosis of Tuberculosis,M490,Tuberculosis of spine
Tuberculosis,,,Diagnosis of Tuberculosis,M900,Tuberculosis of bone
Tuberculosis,,,Diagnosis of Tuberculosis,N330,Tuberculous cystitis
Tuberculosis,,,Diagnosis of Tuberculosis,N740,Tuberculous infection of cervix uteri
Tuberculosis,,,Diagnosis of Tuberculosis,N741,Female tuberculous pelvic inflammatory disease
Tuberculosis,,,Diagnosis of Tuberculosis,P370,Congenital tuberculosis
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C17,Malignant neoplasm of small intestine
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C23,Malignant neoplasm of gallbladder
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C260,"Malignant neoplasm: Intestinal tract, part unspecified"
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C261,Malignant neoplasm: Spleen
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C268,Malignant neoplasm: Overlapping lesion of digestive system
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C269,Malignant neoplasm: Ill-defined sites within the digestive system
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C300,Malignant neoplasm: Nasal cavity
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C301,Malignant neoplasm: Middle ear
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C31,Malignant neoplasm of accessory sinuses
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C32,Malignant neoplasm of larynx
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C37,Malignant neoplasm of thymus
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C380,Malignant neoplasm: Heart
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C381,Malignant neoplasm: Anterior mediastinum
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C382,Malignant neoplasm: Posterior mediastinum
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C383,"Malignant neoplasm: Mediastinum, part unspecified"
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C384,Malignant neoplasm: Pleura
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C388,"Overlapping lesion of heart, mediastinum and pleura"
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C390,"Malignant neoplasm: Upper respiratory tract, part unspecified"
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C398,Malignant neoplasm: Overlapping lesion of respiratory and intrathoracic organs
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C399,Malignant neoplasm: Ill-defined sites within the respiratory system
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C46,Kaposi sarcoma
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C48,Malignant neoplasm of retroperitoneum and peritoneum
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C49,Malignant neoplasm of other connective and soft tissue
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C51,Malignant neoplasm of vulva
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C52,Malignant neoplasm of vagina
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C57,Malignant neoplasm of other and unspecified female genital organs
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C58,Malignant neoplasm of placenta
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C60,Malignant neoplasm of penis
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C63,Malignant neoplasm of other and unspecified male genital organs
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C68,Malignant neoplasm of other and unspecified urinary organs
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C69,Malignant neoplasm of eye and adnexa
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C74,Malignant neoplasm of adrenal gland
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C750,Malignant neoplasm: Parathyroid gland
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C758,"Malignant neoplasm: Pluriglandular involvement, unspecified"
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C759,"Malignant neoplasm: Endocrine gland, unspecified"
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C76,Malignant neoplasm of other and ill-defined sites
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C80,Malignant neoplasm without specification of site
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C883,Immunoproliferative small intestinal disease
Primary Malignancy_Other Organs,,,Diagnosis of Primary Malignancy_Other Organs,C884,Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C887,Other malignant immunoproliferative diseases
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C889,"Malignant immunoproliferative disease, unspecified"
Primary Malignancy_Other Organs,,,Possible Diagnosis of Primary Malignancy_Other Organs,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
